text,label
"How do I pass a variable by reference? I wrote this class for testing:
class PassByReference:
    def __init__(self):
        self.variable = 'Original'
        self.change(self.variable)
        print(self.variable)

    def change(self, ...",66
How to iterate over a dictionary? [closed] I've seen a few different ways to iterate over a dictionary in C#.  Is there a standard way?,23
"How do I disable the resizable property of a textarea? I want to disable the resizable property of a textarea.

Currently, I can resize a textarea by clicking on the bottom right corner of the textarea and dragging the mouse. How can I disable this?",14
"How do I modify a specific commit? I have the following commit history:

HEAD
HEAD~
HEAD~2
HEAD~3

git commit --amend modifies the current HEAD commit. But how do I modify HEAD~3?",25
How to add a column with a default value to an existing table in SQL Server? How can I add a column with a default value to an existing table in SQL Server 2000 / SQL Server 2005?,12
"Using async/await with a forEach loop Are there any issues with using async/await in a forEach loop? I'm trying to loop through an array of files and await on the contents of each file.
import fs from 'fs-promise'

async function ...",105
How can I see the differences between two branches? How can I see the differences between branches branch_1 and branch_2?,25
Manually raising (throwing) an exception in Python How do I raise an exception in Python so that it can later be caught via an except block?,66
How do I print colored text to the terminal? How do I output colored text to the terminal in Python?,66
"ssh ""permissions are too open"" I get the following error from ssh:
Permissions 0777 for '/Users/username/.ssh/id_rsa' are too open.
It is recommended that your private key files are NOT accessible by others.
This private key will ...",112
"Understanding Python super() with __init__() methods [duplicate] Why is super() used?
Is there a difference between using Base.__init__ and super().__init__?
class Base(object):
    def __init__(self):
        print ""Base created""
        
class ChildA(...",66
How do I make a time delay? [duplicate] How do I put a time delay in a Python script?,66
"event.preventDefault() vs. return false When I want to prevent other event handlers from executing after a certain event is fired, I can use one of two techniques. I'll use jQuery in the examples, but this applies to plain-JS as well:

1. ...",105
How do you disable browser autocomplete on web form field / input tags? How do you disable autocomplete in the major browsers for a specific input (or form field)?,14
"JavaScript closure inside loops – simple practical example var funcs = [];
// let's create 3 functions
for (var i = 0; i < 3; i++) {
  // and store them in funcs
  funcs[i] = function() {
    // each should log its value.
    console.log(""My value:"", i);
  ...",105
"How do I test a class that has private methods, fields or inner classes? How do I use JUnit to test a class that has internal private methods, fields or nested classes?
It seems bad to change the access modifier for a method just to be able to run a test.",115
How do I change the size of figures drawn with Matplotlib? How do I change the size of figure drawn with Matplotlib?,66
"How can I change the commit author for a single commit? I want to change the author of one specific commit in the history. It's not the latest commit.
Related: How do I change the author and committer name/email for multiple commits?",25
"I ran into a merge conflict. How do I abort the merge? I used git pull and had a merge conflict:
unmerged:   some_file.txt

You are in the middle of a conflicted merge.

How do I abandon my changes to the file and keep only the pulled changes?",25
Detecting an undefined object property How do I check if an object property in JavaScript is undefined?,105
"How do I find and restore a deleted file in a Git repository? Say I'm in a Git repository. I delete a file and commit that change. I continue working and make some more commits. Then, I discover that I need to restore that file after deleting it.
I know I can ...",25
"How do I concatenate two lists in Python? How do I concatenate two lists in Python?

Example:

listone = [1, 2, 3]
listtwo = [4, 5, 6]
Expected outcome:

>>> joinedlist
[1, 2, 3, 4, 5, 6]",66
"What does "" 2>&1 "" mean? To combine stderr and stdout into the stdout stream, we append this to a command:
2>&1

For example, the following command shows the first few errors from compiling main.cpp:
g++ main.cpp 2>&...",49
"How do I check if a list is empty? For example, if passed the following:

a = []
How do I check to see if a is empty?",66
"`git fetch` a remote branch The remote repository contains various branches such as origin/daves_branch:
$ git branch -r
origin/HEAD -> origin/master
origin/daves_branch
origin/master

How do I switch to daves_branch in the ...",25
"Should I use the datetime or timestamp data type in MySQL? Would you recommend using a datetime or a timestamp field, and why (using MySQL)? 

I'm working with PHP on the server side.",45
"HTTP GET with request body I'm developing a new RESTful webservice for our application.
When doing a GET on certain entities, clients can request the contents of the entity.
If they want to add some parameters (for example ...",51
"How can I check if a program exists from a Bash script? How would I validate that a program exists, in a way that will either return an error and exit, or continue with the script?

It seems like it should be easy, but it's been stumping me.",49
"How do I make function decorators and chain them together? How do I make two decorators in Python that would do the following?
@make_bold
@make_italic
def say():
   return ""Hello""

Calling say() should return:
""<b><i>Hello</i>&...",66
"Is it possible to apply CSS to half of a character? What I am looking for:
A way to style one HALF of a character. (In this case, half the letter being transparent)
What I have currently searched for and tried (With no luck):

Methods for styling half ...",105
"How to stop EditText from gaining focus when an activity starts in Android? I have an Activity in Android, with two elements:

EditText
ListView

When my Activity starts, the EditText immediately has the input focus (flashing cursor). I don't want any control to have input ...",98
How do I change the author and committer name/email for multiple commits? How do I change the author for a range of commits?,25
"When should static_cast, dynamic_cast, const_cast, and reinterpret_cast be used? What are the proper uses of:

static_cast
dynamic_cast
const_cast
reinterpret_cast
(type)value (C-style cast)
type(value) (function-style cast)

How does one decide which to use in which specific ...",37
"How to set, clear, and toggle a single bit How can I set, clear, and toggle a bit?",37
"Is there an ""exists"" function for jQuery? How can I check the existence of an element in jQuery?

The current code that I have is this:

if ($(selector).length > 0) {
    // Do something
}
Is there a more elegant way to approach this? ...",105
"How can I upload files asynchronously with jQuery? I would like to upload a file asynchronously with jQuery. 



$(document).ready(function () {
    $(""#uploadbutton"").click(function () {
        var filename = $(""#file"").val();

        $.ajax({...",105
"How do I clone a Git repository into a specific folder? The command git clone git@github.com:whatever creates a directory named whatever containing a Git repository:
./
    whatever/
        .git

I want the contents of the Git repository cloned into my ...",25
"How do I split a list into equally-sized chunks? How do I split a list of arbitrary length into equal sized chunks?

See also: How to iterate over a list in chunks.
To chunk strings, see Split string every nth character?.",66
"What is the difference between #include <filename> and #include ""filename""? What is the difference between using angle brackets and quotes in an include directive?

#include <filename>
#include ""filename""",37
"What is the --save option for npm install? I saw some tutorial where the command was:
npm install --save

What does the --save option mean?",46
"Find (and kill) processes listening to port 3000 on Mac [closed] How do I manually find (and kill) process using the terminal that listen to/use my TCP ports? I'm on macOS.
Sometimes, after a crash or bug, my Rails app gets locked to port 3000, and I can't find it ...",55
"Is there a standard function to check for null, undefined, or blank variables in JavaScript? [duplicate] Is there a universal JavaScript function that checks that a variable has a value and ensures that it's not undefined or null? I've got this code, but I'm not sure if it covers all cases:
function ...",105
"What is the difference between the 'COPY' and 'ADD' commands in a Dockerfile? What is the difference between the COPY and ADD commands in a Dockerfile, and when would I use one over the other?

COPY <src> <dest>
  The COPY instruction will copy new files from <...",59
"How do I pass command line arguments to a Node.js program and receive them? I have a web server written in Node.js and I would like to launch with a specific folder. I'm not sure how to access arguments in JavaScript. I'm running node like this:

$ node server.js folder
here ...",105
"Is there a unique Android device ID? Do Android devices have a unique ID, and if so, what is a simple way to access it using Java?",98
What is the difference between Python's list methods append and extend? What's the difference between the list methods append() and extend()?,66
"Find the current directory and file's directory [duplicate] How do I determine:

the current directory (where I was in the shell when I ran the Python script), and
where the Python file I am executing is?",66
"Deleting an element from an array in PHP Is there an easy way to delete an element from an array using PHP, such that foreach ($array) no longer includes that element?

I thought that setting it to null would do it, but apparently it does ...",73
How can I recursively find all files in current and subfolders based on wildcard matching? How can I recursively find all files in current and subfolders based on wildcard matching?,72
"How to store objects in HTML5 localStorage/sessionStorage I'd like to store a JavaScript object in HTML5 localStorage, but my object is apparently being converted to a string.
I can store and retrieve primitive JavaScript types and arrays using localStorage, ...",105
"How can I check for ""undefined"" in JavaScript? [duplicate] What is the most appropriate way to test if a variable is undefined in JavaScript?
I've seen several possible ways:
if (window.myVariable)

Or
if (typeof(myVariable) != ""undefined"")

Or
if (...",105
"How can I know which radio button is selected via jQuery? I have two radio buttons and want to post the value of the selected one.
How can I get the value with jQuery?

I can get all of them like this:

$(""form :radio"")
How do I know which one is selected?",105
"How do I modify the URL without reloading the page? Is there a way I can modify the URL of the current page without reloading the page?
I would like to access the portion before the # hash if possible.
I only need to change the portion after the domain,...",105
"Length of a JavaScript object I have a JavaScript object. Is there a built-in or accepted best practice way to get the length of this object?
const myObject = new Object();
myObject[""firstname""] = ""Gareth"";
...",105
"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3? It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator.
This being the case, I would have expected ...",66
"Find the version of an installed npm package How can I find the version of an installed Node.js or npm package?
This prints the version of npm itself:
npm -v <package-name>

This prints a cryptic error:
npm version <package-name>

...",46
"Renaming column names in Pandas I want to change the column labels of a Pandas DataFrame from
['$a', '$b', '$c', '$d', '$e']

to
['a', 'b', 'c', 'd', 'e']",66
How do I get the current date in JavaScript? How do I get the current date in JavaScript?,105
"How do I split a string on a delimiter in Bash? I have this string stored in a variable:

IN=""bla@some.com;john@home.com""
Now I would like to split the strings by ; delimiter so that I have:

ADDR1=""bla@some.com""
ADDR2=""john@home.com""
I don't ...",49
"Copying files from Docker container to host [closed] I'm thinking of using Docker to build my dependencies on a Continuous Integration (CI) server, so that I don't have to install all the runtimes and libraries on the agents themselves. 

To achieve ...",59
"Why is printing ""B"" dramatically slower than printing ""#""? I generated two matrices of 1000 x 1000:
First Matrix: O and #.
Second Matrix: O and B.
Using the following code, the first matrix took 8.52 seconds to complete:
Random r = new Random();
for (int i = ...",115
"Convert string ""Jun 1 2005 1:33PM"" into datetime I have a huge list of datetime strings like the following
[""Jun 1 2005 1:33PM"", ""Aug 28 1999 12:00AM""]

How do I convert them into datetime objects?",66
"How can I remove a key from a Python dictionary? I want to remove a key from a dictionary if it is present. I currently use this code:
if key in my_dict:
    del my_dict[key]

Without the if statement, the code will raise KeyError if the key is not ...",66
"How can I transition height: 0; to height: auto; using CSS? I am trying to make a <ul> slide down using CSS transitions.

The <ul> starts off at height: 0;. On hover, the height is set to height:auto;. However, this is causing it to simply appear, ...",119
"How to mkdir only if a directory does not already exist? I am writing a shell script to run under the KornShell (ksh) on AIX. I would like to use the mkdir command to create a directory. But the directory may already exist, in which case I do not want to do ...",91
"What's the difference between dependencies, devDependencies, and peerDependencies in NPM package.json file? This documentation answers my question very poorly. I didn't understand those explanations. Can someone say in simpler words? Maybe with examples if it's hard to choose simple words?
Also added ...",46
"PowerShell says ""execution of scripts is disabled on this system."" I am trying to run a cmd file that calls a PowerShell script from cmd.exe, but I am getting this error:

Management_Install.ps1 cannot be loaded because the execution of scripts is disabled on this ...",36
"How do I detect a click outside an element? I have some HTML menus, which I show completely when a user clicks on the head of these menus. I would like to hide these elements when the user clicks outside the menus' area.

Is something like this ...",105
"I need an unordered list without any bullets I have created an unordered list. I feel the bullets in the unordered list are bothersome, so I want to remove them. 

Is it possible to have a list without bullets?",14
"How do I make Git ignore file mode (chmod) changes? I have a project in which I have to change the mode of files with chmod to 777 while developing, but which should not change in the main repo. 

Git picks up on chmod -R 777 . and marks all files as ...",25
"How can I create an executable/runnable JAR with dependencies using Maven? I want to package my project in a single executable JAR for distribution.

How can I make a Maven project package all dependency JARs into my output JAR?",115
"Open a URL in a new tab (and not a new window) I'm trying to open a URL in a new tab, as opposed to a popup window.

I've seen related questions where the responses would look something like:

window.open(url,'_blank');
window.open(url);
But none ...",105
"Encode URL in JavaScript How do you safely encode a URL using JavaScript such that it can be put into a GET string?

var myUrl = ""http://example.com/index.html?param=1&anotherParam=2"";
var myOtherUrl = ""http://example.com/...",105
"What are the correct version numbers for C#? What are the correct version numbers for C#? What came out when? Why can't I find any answers about C# 3.5?

This question is primarily to aid those who are searching for an answer using an incorrect ...",23
"How can I update each dependency in package.json to the latest version? I copied package.json from another project and now want to bump all of the dependencies to their latest versions since this is a fresh project and I don't mind fixing something if it breaks.
What's ...",46
"Generate a string of random characters I want a string of fixed length, composed of characters picked randomly from a set of characters e.g. [a-zA-Z0-9].
How can I do this with JavaScript?",105
"Extract filename and extension in Bash I want to get the filename (without extension) and the extension separately.

The best solution I found so far is:

NAME=`echo ""$FILE"" | cut -d'.' -f1`
EXTENSION=`echo ""$FILE"" | cut -d'.' -f2`
This is ...",49
"Determine installed PowerShell version How can I determine what version of PowerShell is installed on a computer, and indeed if it is installed at all?",36
Get all unique values in a JavaScript array (remove duplicates) [duplicate] I have an array of numbers that I need to make sure are unique. I found the code snippet below on the internet and it works great until the array has a zero in it. I found this other script here on ...,105
"How does database indexing work? [closed] Given that indexing is so important as your data set increases in size, can someone explain how indexing works at a database-agnostic level?

For information on queries to index a field, check out How ...",12
"Homebrew install specific version of formula? How do I install a specific version of a formula in homebrew?  For example, postgresql-8.4.4 instead of the latest 9.0.",95
"Is there an equivalent of 'which' on the Windows command line? [closed] As I sometimes have path problems, where one of my own cmd scripts is hidden (shadowed) by another program (earlier on the path), I would like to be able to find the full path to a program on the ...",63
How to append something to an array? How do I append an object (such as a string or number) to an array in JavaScript?,105
Ignore files that have already been committed to a Git repository [duplicate] I have an already initialized Git repository that I added a .gitignore file to. How can I refresh the file index so the files I want ignored get ignored?,25
"How can I save an activity state using the save instance state? I've been working on the Android SDK platform, and it is a little unclear how to save an application's state. So given this minor re-tooling of the 'Hello, Android' example:
package com.android.hello;
...",98
"How do I check if an element is hidden in jQuery? How do I toggle the visibility of an element using  .hide(), .show(), or .toggle()?
How do I test if an element is visible or hidden?",105
"What does ""use strict"" do in JavaScript, and what is the reasoning behind it? Recently, I ran some of my JavaScript code through Crockford's JSLint, and it gave the following error:

Problem at line 1 character 1: Missing ""use strict"" statement.

Doing some searching, ...",105
"How do I make Git forget about a file that was tracked, but is now in .gitignore? I put a file that was previously being tracked by Git onto the .gitignore list. However, the file still shows up in git status after it is edited. How do I force Git to completely forget the file?",25
"What does if __name__ == ""__main__"": do? What does this do, and why should one include the if statement?
if __name__ == ""__main__"":
    print(""Hello, World!"")
If you are trying to close a question where someone should be ...",66
How do I remove local (untracked) files from the current Git working tree? How do I delete untracked local files from the current working tree?,25
Does Python have a ternary conditional operator? Is there a ternary conditional operator in Python?,66
"Is Java ""pass-by-reference"" or ""pass-by-value""? I always thought Java uses pass-by-reference. However, I read a blog post which claims that Java uses pass-by-value. I don't think I understand the distinction the author is making.
What is the ...",115
How do I redirect to another webpage? How can I redirect the user from one page to another using jQuery or pure JavaScript?,105
"Find all files containing a specific text (string) on Linux? How do I find all files containing a specific string of text within their file contents?
The following doesn't work. It seems to display every single file in the system.
find / -type f -exec grep -H '...",72
"var functionName = function() {} vs function functionName() {} I've recently started maintaining someone else's JavaScript code. I'm fixing bugs, adding features and also trying to tidy up the code and make it more consistent.
The previous developer used two ways ...",105
"How to modify existing, unpushed commit messages? I wrote the wrong thing in a commit message.

How can I change the message? The commit has not been pushed yet.",25
"How do JavaScript closures work? How would you explain JavaScript closures to someone with a knowledge of the concepts they consist of (for example functions, variables and the like), but does not understand closures themselves?

I ...",105
"How do I revert a Git repository to a previous commit? How do I revert from my current state to a snapshot made on a certain commit?

If I do git log, then I get the following output:

$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me &...",25
"Why is subtracting these two epoch-milli Times (in year 1927) giving a strange result? If I run the following program, which parses two date strings referencing times 1 second apart and compares them:
public static void main(String[] args) throws ParseException {
    SimpleDateFormat sf ...",115
"What is the difference between String and string in C#? What are the differences between these two, and which one should I use?
string s = ""Hello world!"";
String s = ""Hello world!"";",23
"How do I break a string in YAML over multiple lines? I have a very long string:
Key: 'this is my very very very very very very long string'

I would like to express it over multiple shorter lines, e.g.,
Key: 'this is my very very very ' +
     'long ...",109
"How to upgrade all Python packages with pip Is it possible to upgrade all Python packages at one time with pip?
Note: that there is a feature request for this on the official issue tracker.",66
Check if a variable is a string in JavaScript How can I determine whether a variable is a string or something else in JavaScript?,105
What is the difference between CMD and ENTRYPOINT in a Dockerfile? In Dockerfiles there are two commands that look similar to me: CMD and ENTRYPOINT. But I guess that there is a (subtle?) difference between them - otherwise it would not make any sense to have two ...,59
"How to sort a list of dictionaries by a value of the dictionary in Python? How do I sort a list of dictionaries by a specific key's value? Given:
[{'name': 'Homer', 'age': 39}, {'name': 'Bart', 'age': 10}]

When sorted by name, it should become:
[{'name': 'Bart', 'age': 10}, ...",66
"Compare two dates with JavaScript Can someone suggest a way to compare the values of two dates greater than, less than, and not in the past using JavaScript? The values will be coming from text boxes.",105
"How do I get a YouTube video thumbnail from the YouTube API? If I have a YouTube video URL, is there any way to use PHP and cURL to get the associated thumbnail from the YouTube API?",73
